country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Sierra Leone,SLE,4/29/21,59786,54084,5702,,904,0.75,0.68,0.07,113,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1381411242220018/1381410965553379/
Slovakia,SVK,4/29/21,1551193,1062545,488648,18990,20748,28.41,19.46,8.95,3800,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,4/29/21,610723,418867,191856,16880,6558,29.38,20.15,9.23,3155,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
South Africa,ZAF,4/29/21,307591,307591,307591,9438,1664,0.52,0.52,0.52,28,Johnson&Johnson,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,4/29/21,3254738,3056004,198734,277223,162863,6.35,5.96,0.39,3177,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
Sri Lanka,LKA,4/29/21,933591,927711,5880,,464,4.36,4.33,0.03,22,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-29-04_10_21.pdf
Sweden,SWE,4/29/21,3142934,2403165,739769,79249,53994,31.12,23.8,7.32,5346,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Taiwan,TWN,4/29/21,54189,,,3356,2138,0.23,,,90,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Thailand,THA,4/29/21,1411614,1075756,335858,66968,63827,2.02,1.54,0.48,914,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-04-30.pdf
Trinidad and Tobago,TTO,4/29/21,42154,42154,,72,2581,3.01,3.01,,1844,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Turkey,TUR,4/29/21,22568172,13646398,8921774,435369,262742,26.76,16.18,10.58,3115,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Ukraine,UKR,4/29/21,702568,702438,130,73376,27788,1.61,1.61,0,635,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,4/29/21,10547584,,,81333,78049,106.64,,,7891,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
United States,USA,4/29/21,237360493,143793565,99668945,2721079,2630407,70.97,43,29.8,7865,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Uruguay,URY,4/29/21,1786697,1157323,629374,46307,36810,51.43,33.32,18.12,10597,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
Vietnam,VNM,4/29/21,506435,506435,,80797,53975,0.52,0.52,,555,Oxford/AstraZeneca,Government of Vietnam,https://vnexpress.net/them-3-ca-lay-nhiem-tu-benh-nhan-covid-19-o-ha-nam-4270750.html
Zambia,ZMB,4/29/21,26580,26580,,4661,2005,0.14,0.14,,109,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/posts/1896610343846947
Zimbabwe,ZWE,4/29/21,477597,400771,76826,19584,17971,3.21,2.7,0.52,1209,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1387855358157283328
